clinic_id,clinic_name,address,latitude,longitude
1,Benh vien Bach Mai,78 Giai Phong Dong Da Ha Noi,21.0001,105.8423
2,Benh vien Thu Cuc,286 Thuy Khue Tay Ho Ha Noi,21.0479,105.8170
3,Benh vien E,89 Tran Cuong Cau Giay Ha Noi,21.0356,105.7901
4,Benh vien Da khoa Xanh Pon,12 Chu Van An Ba Dinh Ha Noi,21.0314,105.8311
5,Benh vien Viet Duc,40 Trang Thi Hoan Kiem Ha Noi,21.0223,105.8497
6,Benh vien Da khoa Medlatec,42 Nghia Dung Ba Dinh Ha Noi,21.0420,105.8350
7,Benh vien Da khoa Quoc te Vinmec,458 Minh Khai Hai Ba Trung Ha Noi,20.9980,105.8665
8,Benh vien Nhi Trung Uong,18/879 La Thanh Dong Da Ha Noi,21.0190,105.8120
